sno,language,question_type,category,level,question,option1,answer1,option2,answer2,option3,answer3,option4,answer4,option5,answer5,option6,answer6,option7,answer7,option8,answer8
14,en,single_choice,general_studies,difficult,Which Indian city hosted the G20 Leaders Summit in 2023?,New Delhi,TRUE,Mumbai,FALSE,Bengaluru,FALSE,Kolkata,FALSE,,,,,,,,
15,en,single_choice,general_studies,difficult,What percentage of India's population is below 25 years of age?,50 percent,TRUE,35 percent,FALSE,65 percent,FALSE,40 percent,FALSE,,,,,,,,
16,en,single_choice,state_gk,easy,Which is the largest state in India by area?,Rajasthan,TRUE,Madhya Pradesh,FALSE,Maharashtra,FALSE,Uttar Pradesh,FALSE,,,,,,,,
17,en,single_choice,state_gk,easy,Which state is known as the Land of Five Rivers?,Punjab,TRUE,Haryana,FALSE,Himachal Pradesh,FALSE,Uttarakhand,FALSE,,,,,,,,
18,en,single_choice,state_gk,easy,Which city is the capital of Karnataka?,Bengaluru,TRUE,Mysuru,FALSE,Mangaluru,FALSE,Hubli,FALSE,,,,,,,,
19,en,single_choice,state_gk,moderate,Which state has the highest literacy rate in India?,Kerala,TRUE,Tamil Nadu,FALSE,Goa,FALSE,Mizoram,FALSE,,,,,,,,
20,en,single_choice,state_gk,moderate,Which Indian state is the largest producer of tea?,Assam,TRUE,West Bengal,FALSE,Tamil Nadu,FALSE,Kerala,FALSE,,,,,,,,
21,en,single_choice,state_gk,moderate,What is the official language of Goa?,Konkani,TRUE,Marathi,FALSE,Hindi,FALSE,Portuguese,FALSE,,,,,,,,
22,en,single_choice,state_gk,difficult,Which northeastern state was formed in the year 2000?,Jharkhand,TRUE,Chhattisgarh,FALSE,Uttarakhand,FALSE,None of these,FALSE,,,,,,,,
23,en,single_choice,moyas,easy,What does NSS stand for?,National Service Scheme,TRUE,National Sports School,FALSE,National Skill Society,FALSE,National Science Society,FALSE,,,,,,,,
24,en,single_choice,moyas,easy,Which organization promotes youth volunteering in India?,MY Bharat,TRUE,UNICEF India,FALSE,World Bank,FALSE,IMF,FALSE,,,,,,,,
25,en,single_choice,moyas,easy,What is the motto of NSS?,Not Me But You,TRUE,Service Before Self,FALSE,Youth for Nation,FALSE,Together We Can,FALSE,,,,,,,,
26,en,single_choice,moyas,moderate,Which year was the National Youth Policy introduced in India?,2014,TRUE,2010,FALSE,2016,FALSE,2012,FALSE,,,,,,,,
27,en,single_choice,moyas,moderate,What is the minimum number of members required to form a Youth Club?,Six,TRUE,Five,FALSE,Ten,FALSE,Eight,FALSE,,,,,,,,
28,en,single_choice,moyas,moderate,Which day is celebrated as National Youth Day in India?,January 12,TRUE,January 26,FALSE,August 15,FALSE,November 14,FALSE,,,,,,,,
29,en,single_choice,moyas,difficult,In which year was Nehru Yuva Kendra Sangathan established?,1972,TRUE,1968,FALSE,1975,FALSE,1980,FALSE,,,,,,,,
30,en,single_choice,moyas,difficult,What is the upper age limit for NCC cadets?,26 years,TRUE,28 years,FALSE,25 years,FALSE,30 years,FALSE,,,,,,,,
31,en,multi_choice,general_studies,easy,Which of these are fundamental rights in India?,Right to Equality,TRUE,Right to Freedom,TRUE,Right to Property,FALSE,Right to Education,TRUE,,,,,,,,
32,en,multi_choice,general_studies,easy,Which of the following are renewable sources of energy?,Solar Energy,TRUE,Wind Energy,TRUE,Coal,FALSE,Natural Gas,FALSE,,,,,,,,
33,en,multi_choice,general_studies,moderate,Which initiatives are part of Digital India?,DigiLocker,TRUE,UMANG App,TRUE,Aadhaar Card printing,FALSE,BharatNet,TRUE,,,,,,,,
34,en,multi_choice,general_studies,moderate,Which of these countries are part of BRICS?,India,TRUE,Brazil,TRUE,Japan,FALSE,South Africa,TRUE,,,,,,,,
35,en,multi_choice,general_studies,difficult,Which of the following are Millennium Development Goals?,Eradicate extreme poverty,TRUE,Achieve universal primary education,TRUE,Build smart cities,FALSE,Promote gender equality,TRUE,,,,,,,,
36,en,single_choice,general_studies,easy,What is the national animal of India?,Bengal Tiger,TRUE,Asiatic Lion,FALSE,Indian Elephant,FALSE,Indian Rhinoceros,FALSE,,,,,,,,
37,en,single_choice,general_studies,easy,Which is the highest civilian award in India?,Bharat Ratna,TRUE,Padma Vibhushan,FALSE,Padma Bhushan,FALSE,Padma Shri,FALSE,,,,,,,,
38,en,single_choice,general_studies,easy,How many states are there in India as of 2024?,28,TRUE,29,FALSE,30,FALSE,27,FALSE,,,,,,,,
39,en,single_choice,general_studies,moderate,Who is known as the Father of the Indian Constitution?,Dr B R Ambedkar,TRUE,Jawaharlal Nehru,FALSE,Mahatma Gandhi,FALSE,Sardar Patel,FALSE,,,,,,,,
40,en,single_choice,general_studies,moderate,Which Indian scientist is known as the Missile Man?,Dr APJ Abdul Kalam,TRUE,Vikram Sarabhai,FALSE,Homi Bhabha,FALSE,C V Raman,FALSE,,,,,,,,
41,en,single_choice,general_studies,moderate,What is the currency of India called?,Indian Rupee,TRUE,Indian Dollar,FALSE,Indian Pound,FALSE,Indian Dinar,FALSE,,,,,,,,
42,en,single_choice,general_studies,moderate,Which planet is known as the Red Planet?,Mars,TRUE,Jupiter,FALSE,Venus,FALSE,Saturn,FALSE,,,,,,,,
43,en,single_choice,general_studies,difficult,What is the approximate length of the Indian coastline?,7517 km,TRUE,6100 km,FALSE,8500 km,FALSE,5400 km,FALSE,,,,,,,,
44,en,single_choice,general_studies,difficult,Which is the longest river in India?,Ganga,TRUE,Godavari,FALSE,Brahmaputra,FALSE,Narmada,FALSE,,,,,,,,
45,en,single_choice,general_studies,difficult,In which year did India conduct its first nuclear test?,1974,TRUE,1971,FALSE,1978,FALSE,1980,FALSE,,,,,,,,
46,en,single_choice,state_gk,easy,Which state is known as the Spice Garden of India?,Kerala,TRUE,Karnataka,FALSE,Tamil Nadu,FALSE,Andhra Pradesh,FALSE,,,,,,,,
47,en,single_choice,state_gk,easy,Which is the smallest state in India by area?,Goa,TRUE,Sikkim,FALSE,Tripura,FALSE,Mizoram,FALSE,,,,,,,,
48,en,single_choice,state_gk,moderate,Which state is the largest producer of rice in India?,West Bengal,TRUE,Punjab,FALSE,Uttar Pradesh,FALSE,Andhra Pradesh,FALSE,,,,,,,,
49,en,single_choice,state_gk,moderate,Which city is known as the Silicon Valley of India?,Bengaluru,TRUE,Hyderabad,FALSE,Pune,FALSE,Chennai,FALSE,,,,,,,,
50,en,single_choice,state_gk,difficult,Which state has the longest coastline in India?,Gujarat,TRUE,Maharashtra,FALSE,Tamil Nadu,FALSE,Andhra Pradesh,FALSE,,,,,,,,
51,en,single_choice,general_studies,easy,What does ATM stand for?,Automated Teller Machine,TRUE,Automatic Transaction Machine,FALSE,All Time Money,FALSE,Auto Transfer Method,FALSE,,,,,,,,
52,en,single_choice,general_studies,easy,Which gas do plants absorb from the atmosphere?,Carbon Dioxide,TRUE,Oxygen,FALSE,Nitrogen,FALSE,Hydrogen,FALSE,,,,,,,,
53,en,single_choice,general_studies,easy,What is the chemical symbol for water?,H2O,TRUE,CO2,FALSE,O2,FALSE,NaCl,FALSE,,,,,,,,
54,en,single_choice,general_studies,moderate,Which vitamin is produced when human skin is exposed to sunlight?,Vitamin D,TRUE,Vitamin A,FALSE,Vitamin C,FALSE,Vitamin E,FALSE,,,,,,,,
55,en,single_choice,general_studies,moderate,What is the SI unit of electric current?,Ampere,TRUE,Volt,FALSE,Watt,FALSE,Ohm,FALSE,,,,,,,,
56,en,single_choice,general_studies,moderate,Which blood group is known as the universal donor?,O negative,TRUE,AB positive,FALSE,A positive,FALSE,B negative,FALSE,,,,,,,,
57,en,single_choice,general_studies,difficult,What is the speed of light in vacuum?,3 lakh km per second,TRUE,2 lakh km per second,FALSE,4 lakh km per second,FALSE,1 lakh km per second,FALSE,,,,,,,,
58,en,single_choice,general_studies,difficult,Which element has the highest melting point?,Tungsten,TRUE,Iron,FALSE,Gold,FALSE,Platinum,FALSE,,,,,,,,
59,en,single_choice,moyas,easy,What is the full form of NCC?,National Cadet Corps,TRUE,National Civil Corps,FALSE,National Community Center,FALSE,National Cultural Committee,FALSE,,,,,,,,
60,en,single_choice,moyas,easy,Which program encourages youth to volunteer for community service?,Volunteer for Bharat,TRUE,Startup India,FALSE,Digital India,FALSE,Make in India,FALSE,,,,,,,,
61,en,single_choice,moyas,moderate,What is the duration of standard NSS special camp?,7 days,TRUE,10 days,FALSE,5 days,FALSE,15 days,FALSE,,,,,,,,
62,en,single_choice,moyas,moderate,Which initiative connects youth with experiential learning?,MY Bharat ELP,TRUE,Skill India Portal,FALSE,PMKVY,FALSE,NSDC Portal,FALSE,,,,,,,,
63,en,single_choice,moyas,difficult,How many hours of community service are required per year in NSS?,120 hours,TRUE,100 hours,FALSE,150 hours,FALSE,200 hours,FALSE,,,,,,,,
64,en,single_choice,general_studies,easy,What is the national flower of India?,Lotus,TRUE,Rose,FALSE,Sunflower,FALSE,Jasmine,FALSE,,,,,,,,
65,en,single_choice,general_studies,easy,Which continent is India located in?,Asia,TRUE,Europe,FALSE,Africa,FALSE,Australia,FALSE,,,,,,,,
66,en,single_choice,general_studies,easy,What is the national bird of India?,Indian Peacock,TRUE,Parrot,FALSE,Eagle,FALSE,Sparrow,FALSE,,,,,,,,
67,en,single_choice,general_studies,moderate,Who wrote the Indian national anthem?,Rabindranath Tagore,TRUE,Bankim Chandra Chattopadhyay,FALSE,Sarojini Naidu,FALSE,Muhammad Iqbal,FALSE,,,,,,,,
68,en,single_choice,general_studies,moderate,Which is the largest democracy in the world?,India,TRUE,United States,FALSE,United Kingdom,FALSE,France,FALSE,,,,,,,,
69,en,single_choice,general_studies,moderate,What is the tenure of the President of India?,5 years,TRUE,4 years,FALSE,6 years,FALSE,7 years,FALSE,,,,,,,,
70,en,single_choice,general_studies,difficult,How many schedules are there in the Indian Constitution?,12,TRUE,10,FALSE,8,FALSE,14,FALSE,,,,,,,,
71,en,single_choice,general_studies,difficult,Which amendment is known as the Mini Constitution?,42nd Amendment,TRUE,44th Amendment,FALSE,73rd Amendment,FALSE,86th Amendment,FALSE,,,,,,,,
72,en,single_choice,state_gk,easy,Which state is known as Gods Own Country?,Kerala,TRUE,Goa,FALSE,Himachal Pradesh,FALSE,Uttarakhand,FALSE,,,,,,,,
73,en,single_choice,state_gk,moderate,Which state has the maximum number of districts?,Uttar Pradesh,TRUE,Madhya Pradesh,FALSE,Maharashtra,FALSE,Rajasthan,FALSE,,,,,,,,
74,en,single_choice,state_gk,difficult,Which was the first state formed on linguistic basis in India?,Andhra Pradesh,TRUE,Tamil Nadu,FALSE,Karnataka,FALSE,Gujarat,FALSE,,,,,,,,
75,en,multi_choice,moyas,easy,Which of the following are youth development programs in India?,NSS,TRUE,NCC,TRUE,FIFA,FALSE,MY Bharat,TRUE,,,,,,,,
76,en,multi_choice,moyas,moderate,Which activities are included in MY Bharat platform?,Volunteering,TRUE,Experiential Learning,TRUE,Stock Trading,FALSE,Quiz and Essay,TRUE,,,,,,,,
77,en,multi_choice,general_studies,easy,Which of these are Union Territories of India?,Delhi,TRUE,Chandigarh,TRUE,Goa,FALSE,Puducherry,TRUE,,,,,,,,
78,en,multi_choice,general_studies,moderate,Which rivers originate from the Himalayas?,Ganga,TRUE,Yamuna,TRUE,Kaveri,FALSE,Brahmaputra,TRUE,,,,,,,,
79,en,single_choice,general_studies,easy,What is the boiling point of water at sea level?,100 degree Celsius,TRUE,90 degree Celsius,FALSE,110 degree Celsius,FALSE,80 degree Celsius,FALSE,,,,,,,,
80,en,single_choice,general_studies,easy,How many bones are there in an adult human body?,206,TRUE,208,FALSE,204,FALSE,200,FALSE,,,,,,,,
81,en,single_choice,general_studies,moderate,Which organ in the human body produces insulin?,Pancreas,TRUE,Liver,FALSE,Kidney,FALSE,Heart,FALSE,,,,,,,,
82,en,single_choice,general_studies,moderate,What is the hardest natural substance on Earth?,Diamond,TRUE,Granite,FALSE,Iron,FALSE,Quartz,FALSE,,,,,,,,
83,en,single_choice,general_studies,difficult,Which Indian mathematician invented the concept of zero?,Aryabhatta,TRUE,Ramanujan,FALSE,Brahmagupta,FALSE,Bhaskara,FALSE,,,,,,,,
84,en,single_choice,general_studies,difficult,What is the ph value of pure water?,7,TRUE,6,FALSE,8,FALSE,5,FALSE,,,,,,,,
85,en,single_choice,general_studies,easy,Which planet is closest to the Sun?,Mercury,TRUE,Venus,FALSE,Earth,FALSE,Mars,FALSE,,,,,,,,
86,en,single_choice,general_studies,easy,What is the largest organ of the human body?,Skin,TRUE,Liver,FALSE,Brain,FALSE,Heart,FALSE,,,,,,,,
87,en,single_choice,general_studies,moderate,Which Indian state was the first to implement the Panchayati Raj system?,Rajasthan,TRUE,Kerala,FALSE,Tamil Nadu,FALSE,Gujarat,FALSE,,,,,,,,
88,en,single_choice,general_studies,moderate,In which year was the Right to Education Act enacted?,2009,TRUE,2005,FALSE,2010,FALSE,2012,FALSE,,,,,,,,
89,en,single_choice,general_studies,difficult,What is the total number of parliamentary constituencies in India?,543,TRUE,545,FALSE,540,FALSE,550,FALSE,,,,,,,,
90,en,single_choice,general_studies,difficult,Which committee recommended the formation of Panchayati Raj in India?,Balwant Rai Mehta Committee,TRUE,Ashok Mehta Committee,FALSE,Sarkaria Commission,FALSE,Shah Commission,FALSE,,,,,,,,
91,en,single_choice,moyas,easy,What does ELP stand for in MY Bharat?,Experiential Learning Program,TRUE,Education Learning Platform,FALSE,Electronic Literacy Program,FALSE,Employment Linkage Portal,FALSE,,,,,,,,
92,en,single_choice,moyas,moderate,Which year was International Youth Day first observed?,1999,TRUE,2000,FALSE,1995,FALSE,2005,FALSE,,,,,,,,
93,en,single_choice,moyas,difficult,What is the theme of National Youth Policy 2014?,Youth Development and Empowerment,TRUE,Youth Employment,FALSE,Youth Education,FALSE,Youth Health,FALSE,,,,,,,,
94,en,single_choice,general_studies,easy,Which is the longest written constitution in the world?,Indian Constitution,TRUE,US Constitution,FALSE,British Constitution,FALSE,French Constitution,FALSE,,,,,,,,
95,en,single_choice,general_studies,moderate,What percentage of seats are reserved for women in local bodies?,33 percent,TRUE,25 percent,FALSE,50 percent,FALSE,40 percent,FALSE,,,,,,,,
96,en,single_choice,general_studies,difficult,Which Five Year Plan introduced the concept of inclusive growth?,11th Five Year Plan,TRUE,10th Five Year Plan,FALSE,12th Five Year Plan,FALSE,9th Five Year Plan,FALSE,,,,,,,,
97,en,multi_choice,general_studies,moderate,Which of these are Fundamental Duties under Article 51A?,Respect the national flag,TRUE,Protect the environment,TRUE,Pay income tax,FALSE,Promote harmony,TRUE,,,,,,,,
98,en,multi_choice,state_gk,easy,Which of these cities are state capitals?,Jaipur,TRUE,Lucknow,TRUE,Pune,FALSE,Bhopal,TRUE,,,,,,,,
99,en,single_choice,general_studies,easy,What is the national game of India?,Hockey,TRUE,Cricket,FALSE,Football,FALSE,Kabaddi,FALSE,,,,,,,,
100,en,single_choice,general_studies,moderate,Which Indian institution is responsible for monetary policy?,Reserve Bank of India,TRUE,SEBI,FALSE,NABARD,FALSE,SBI,FALSE,,,,,,,,
1,hi,single_choice,general_studies,easy,MY Bharat का पूरा नाम क्या है?,मेरा युवा भारत,TRUE,मेरा यूथ भारत,FALSE,मिनिस्ट्री यूथ बोर्ड,FALSE,मेगा यूथ भारत,FALSE,,,,,,,,
2,hi,single_choice,general_studies,easy,MY Bharat किस मंत्रालय की पहल है?,युवा कार्यक्रम और खेल मंत्रालय,TRUE,शिक्षा मंत्रालय,FALSE,गृह मंत्रालय,FALSE,सूचना प्रौद्योगिकी मंत्रालय,FALSE,,,,,,,,
3,hi,single_choice,general_studies,easy,UPI का पूरा नाम क्या है?,यूनिफाइड पेमेंट्स इंटरफेस,TRUE,यूनिवर्सल पेमेंट इंडिया,FALSE,यूनाइटेड पे इंटीग्रेशन,FALSE,यूनिफाइड पे इंफ्रास्ट्रक्चर,FALSE,,,,,,,,
4,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय पशु कौन है?,बंगाल टाइगर,TRUE,एशियाई शेर,FALSE,हाथी,FALSE,गैंडा,FALSE,,,,,,,,
5,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय पक्षी कौन है?,मोर,TRUE,तोता,FALSE,गौरैया,FALSE,बाज,FALSE,,,,,,,,
6,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय फूल क्या है?,कमल,TRUE,गुलाब,FALSE,चमेली,FALSE,सूरजमुखी,FALSE,,,,,,,,
7,hi,single_choice,general_studies,moderate,स्वच्छ भारत मिशन कब शुरू हुआ?,2014,TRUE,2015,FALSE,2013,FALSE,2016,FALSE,,,,,,,,
8,hi,single_choice,general_studies,moderate,भारतीय संविधान के निर्माता कौन हैं?,डॉ भीमराव अंबेडकर,TRUE,जवाहरलाल नेहरू,FALSE,महात्मा गांधी,FALSE,सरदार पटेल,FALSE,,,,,,,,
9,hi,single_choice,general_studies,moderate,भारत में कितने राज्य हैं?,28,TRUE,29,FALSE,30,FALSE,27,FALSE,,,,,,,,
10,hi,single_choice,general_studies,moderate,भारत की राष्ट्रीय नदी कौन सी है?,गंगा,TRUE,यमुना,FALSE,ब्रह्मपुत्र,FALSE,गोदावरी,FALSE,,,,,,,,
11,hi,single_choice,general_studies,difficult,भारतीय संविधान में कितनी अनुसूचियां हैं?,12,TRUE,10,FALSE,8,FALSE,14,FALSE,,,,,,,,
12,hi,single_choice,general_studies,difficult,लोकसभा में कुल कितनी सीटें हैं?,543,TRUE,545,FALSE,540,FALSE,550,FALSE,,,,,,,,
13,hi,single_choice,general_studies,difficult,भारत का पहला परमाणु परीक्षण कब हुआ?,1974,TRUE,1971,FALSE,1978,FALSE,1980,FALSE,,,,,,,,
14,hi,single_choice,state_gk,easy,क्षेत्रफल की दृष्टि से भारत का सबसे बड़ा राज्य कौन है?,राजस्थान,TRUE,मध्य प्रदेश,FALSE,महाराष्ट्र,FALSE,उत्तर प्रदेश,FALSE,,,,,,,,
15,hi,single_choice,state_gk,easy,पंजाब को किस नाम से जाना जाता है?,पांच नदियों की भूमि,TRUE,फूलों की घाटी,FALSE,मसालों का बगीचा,FALSE,देवभूमि,FALSE,,,,,,,,
16,hi,single_choice,state_gk,moderate,भारत में सबसे अधिक साक्षरता दर किस राज्य की है?,केरल,TRUE,तमिलनाडु,FALSE,गोवा,FALSE,मिजोरम,FALSE,,,,,,,,
17,hi,single_choice,state_gk,moderate,भारत का सिलिकॉन वैली किसे कहते हैं?,बेंगलुरु,TRUE,हैदराबाद,FALSE,पुणे,FALSE,चेन्नई,FALSE,,,,,,,,
18,hi,single_choice,state_gk,difficult,भारत की सबसे लंबी तटरेखा किस राज्य की है?,गुजरात,TRUE,महाराष्ट्र,FALSE,तमिलनाडु,FALSE,आंध्र प्रदेश,FALSE,,,,,,,,
19,hi,single_choice,moyas,easy,NSS का पूरा नाम क्या है?,राष्ट्रीय सेवा योजना,TRUE,राष्ट्रीय खेल विद्यालय,FALSE,राष्ट्रीय कौशल समिति,FALSE,राष्ट्रीय विज्ञान संस्था,FALSE,,,,,,,,
20,hi,single_choice,moyas,easy,NSS का आदर्श वाक्य क्या है?,मैं नहीं तुम,TRUE,सेवा ही धर्म,FALSE,युवा राष्ट्र के लिए,FALSE,हम सब एक हैं,FALSE,,,,,,,,
21,hi,single_choice,moyas,moderate,राष्ट्रीय युवा दिवस कब मनाया जाता है?,12 जनवरी,TRUE,26 जनवरी,FALSE,15 अगस्त,FALSE,14 नवंबर,FALSE,,,,,,,,
22,hi,single_choice,moyas,moderate,युवा क्लब बनाने के लिए न्यूनतम कितने सदस्य चाहिए?,छह,TRUE,पांच,FALSE,दस,FALSE,आठ,FALSE,,,,,,,,
23,hi,single_choice,moyas,difficult,नेहरू युवा केंद्र संगठन की स्थापना कब हुई?,1972,TRUE,1968,FALSE,1975,FALSE,1980,FALSE,,,,,,,,
24,hi,single_choice,general_studies,easy,भारत के प्रधानमंत्री का कार्यकाल कितना होता है?,5 वर्ष,TRUE,4 वर्ष,FALSE,6 वर्ष,FALSE,7 वर्ष,FALSE,,,,,,,,
25,hi,single_choice,general_studies,easy,विश्व का सबसे बड़ा लोकतंत्र कौन है?,भारत,TRUE,अमेरिका,FALSE,ब्रिटेन,FALSE,फ्रांस,FALSE,,,,,,,,
26,hi,single_choice,general_studies,moderate,भारत की मुद्रा नीति कौन निर्धारित करता है?,भारतीय रिजर्व बैंक,TRUE,सेबी,FALSE,नाबार्ड,FALSE,भारतीय स्टेट बैंक,FALSE,,,,,,,,
27,hi,single_choice,general_studies,moderate,सूर्य के सबसे निकट ग्रह कौन है?,बुध,TRUE,शुक्र,FALSE,पृथ्वी,FALSE,मंगल,FALSE,,,,,,,,
28,hi,single_choice,general_studies,difficult,भारतीय तटरेखा की अनुमानित लंबाई कितनी है?,7517 किलोमीटर,TRUE,6100 किलोमीटर,FALSE,8500 किलोमीटर,FALSE,5400 किलोमीटर,FALSE,,,,,,,,
29,hi,multi_choice,general_studies,easy,निम्नलिखित में से कौन भारत के केंद्र शासित प्रदेश हैं?,दिल्ली,TRUE,चंडीगढ़,TRUE,गोवा,FALSE,पुडुचेरी,TRUE,,,,,,,,
30,hi,multi_choice,moyas,easy,निम्नलिखित में से कौन युवा विकास कार्यक्रम हैं?,NSS,TRUE,NCC,TRUE,FIFA,FALSE,MY Bharat,TRUE,,,,,,,,
31,hi,single_choice,general_studies,easy,पानी का रासायनिक सूत्र क्या है?,H2O,TRUE,CO2,FALSE,O2,FALSE,NaCl,FALSE,,,,,,,,
32,hi,single_choice,general_studies,easy,मानव शरीर में कुल कितनी हड्डियां होती हैं?,206,TRUE,208,FALSE,204,FALSE,200,FALSE,,,,,,,,
33,hi,single_choice,general_studies,moderate,मानव शरीर में इंसुलिन कौन बनाता है?,अग्न्याशय,TRUE,यकृत,FALSE,गुर्दा,FALSE,हृदय,FALSE,,,,,,,,
34,hi,single_choice,general_studies,moderate,पृथ्वी पर सबसे कठोर प्राकृतिक पदार्थ कौन है?,हीरा,TRUE,ग्रेनाइट,FALSE,लोहा,FALSE,क्वार्ट्ज,FALSE,,,,,,,,
35,hi,single_choice,general_studies,difficult,शून्य की अवधारणा किसने दी?,आर्यभट्ट,TRUE,रामानुजन,FALSE,ब्रह्मगुप्त,FALSE,भास्कर,FALSE,,,,,,,,
36,hi,single_choice,general_studies,easy,भारत का सर्वोच्च नागरिक सम्मान क्या है?,भारत रत्न,TRUE,पद्म विभूषण,FALSE,पद्म भूषण,FALSE,पद्म श्री,FALSE,,,,,,,,
37,hi,single_choice,general_studies,moderate,भारतीय राष्ट्रगान किसने लिखा?,रवींद्रनाथ टैगोर,TRUE,बंकिम चंद्र चट्टोपाध्याय,FALSE,सरोजिनी नायडू,FALSE,मुहम्मद इकबाल,FALSE,,,,,,,,
38,hi,single_choice,general_studies,moderate,शिक्षा का अधिकार अधिनियम कब लागू हुआ?,2009,TRUE,2005,FALSE,2010,FALSE,2012,FALSE,,,,,,,,
39,hi,single_choice,general_studies,difficult,42वां संशोधन किस नाम से जाना जाता है?,लघु संविधान,TRUE,44वां संशोधन,FALSE,73वां संशोधन,FALSE,86वां संशोधन,FALSE,,,,,,,,
40,hi,single_choice,general_studies,difficult,संयुक्त राष्ट्र ने 2015 में कितने सतत विकास लक्ष्य अपनाए?,17,TRUE,15,FALSE,20,FALSE,12,FALSE,,,,,,,,
41,hi,single_choice,state_gk,easy,केरल को किस नाम से जाना जाता है?,ईश्वर का अपना देश,TRUE,मसालों का बगीचा,FALSE,नारियल का देश,FALSE,हरी भूमि,FALSE,,,,,,,,
42,hi,single_choice,state_gk,moderate,भारत में चावल का सबसे बड़ा उत्पादक राज्य कौन है?,पश्चिम बंगाल,TRUE,पंजाब,FALSE,उत्तर प्रदेश,FALSE,आंध्र प्रदेश,FALSE,,,,,,,,
43,hi,single_choice,moyas,easy,NCC का पूरा नाम क्या है?,राष्ट्रीय कैडेट कोर,TRUE,राष्ट्रीय नागरिक कोर,FALSE,राष्ट्रीय सामुदायिक केंद्र,FALSE,राष्ट्रीय सांस्कृतिक समिति,FALSE,,,,,,,,
44,hi,single_choice,moyas,moderate,MY Bharat में ELP का पूरा नाम क्या है?,अनुभवात्मक शिक्षण कार्यक्रम,TRUE,शिक्षा शिक्षण मंच,FALSE,इलेक्ट्रॉनिक साक्षरता कार्यक्रम,FALSE,रोजगार लिंकेज पोर्टल,FALSE,,,,,,,,
45,hi,single_choice,moyas,difficult,NSS में प्रति वर्ष कितने घंटे सामुदायिक सेवा आवश्यक है?,120 घंटे,TRUE,100 घंटे,FALSE,150 घंटे,FALSE,200 घंटे,FALSE,,,,,,,,
46,hi,single_choice,general_studies,easy,भारत किस महाद्वीप में स्थित है?,एशिया,TRUE,यूरोप,FALSE,अफ्रीका,FALSE,ऑस्ट्रेलिया,FALSE,,,,,,,,
47,hi,single_choice,general_studies,easy,पौधे वायुमंडल से कौन सी गैस अवशोषित करते हैं?,कार्बन डाइऑक्साइड,TRUE,ऑक्सीजन,FALSE,नाइट्रोजन,FALSE,हाइड्रोजन,FALSE,,,,,,,,
48,hi,single_choice,general_studies,moderate,सूर्य की किरणों से कौन सा विटामिन मिलता है?,विटामिन डी,TRUE,विटामिन ए,FALSE,विटामिन सी,FALSE,विटामिन ई,FALSE,,,,,,,,
